key_0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Delay,Predicted_date
10623,U001,200761734,H E BUT ,,2020,1930704180,26-03-2020,20200326,20200326,10-04-2020,USD,RV,1,54576.44,20200326,NAA8,1930704180,1,1.010989011,11-04-2020
10624,CA02,140104409,LOB in,,2020,2960625029,29-03-2020,20200329,20200329,10-04-2020,CAD,RV,1,21952.62,20200331,CA10,2960625029,1,4.682854311,14-04-2020
10626,U001,200759878,SA corporation,,2020,1930636614,13-03-2020,20200310,20200313,27-04-2020,USD,RV,1,90475.45,20200313,NAWP,1930636614,1,-1.848095849,25-04-2020
10635,U001,200126819,MCLANE trust,,2020,1930843948,01-05-2020,20200430,20200501,16-05-2020,USD,RV,1,26311.04,20200501,NAA8,1930843948,1,1.010989011,17-05-2020
10637,U001,200794332,COST corp,,2020,1930688419,24-03-2020,20200323,20200324,08-04-2020,USD,RV,1,31046.74,20200324,NAAX,1930688419,1,1.010989011,09-04-2020
10641,U001,200704045,RA llc,,2020,1930725230,31-03-2020,20200331,20200331,15-04-2020,USD,RV,1,46379.66,20200331,NAA8,1930725230,1,1.010989011,16-04-2020
10659,U001,200739006,AL foundation,,2020,1930703794,27-03-2020,20200325,20200327,11-04-2020,USD,RV,1,57281.35,20200327,NAA8,1930703794,1,1.010989011,12-04-2020
10664,U001,200769623,WAL-MAR trust,,2020,1930698712,25-03-2020,20200325,20200325,09-04-2020,USD,RV,1,20868.79,20200325,NAH4,1930698712,1,1.010989011,10-04-2020
10667,U001,200769623,WAL-MAR corp,,2020,1930610155,06-03-2020,20200305,20200306,21-03-2020,USD,RV,1,65702.39,20200306,NAH4,1930610155,1,1.010989011,22-03-2020
10677,U001,200769623,WAL-MAR associates,,2020,1930675584,22-03-2020,20200320,20200322,06-04-2020,USD,RV,1,75198.85,20200322,NAH4,1930675584,1,1.010989011,07-04-2020
10684,U001,200769623,WAL-MAR foundation,,2020,1930844819,01-05-2020,20200430,20200501,16-05-2020,USD,RV,1,33275.81,20200501,NAH4,1930844819,1,1.010989011,17-05-2020
10688,U001,200769623,WAL-MAR trust,,2020,1930687705,24-03-2020,20200323,20200324,08-04-2020,USD,RV,1,1898.2,20200324,NAH4,1930687705,1,1.010989011,09-04-2020
10690,U001,200769623,WAL-MAR ,,2020,1930854457,04-05-2020,20200503,20200504,19-05-2020,USD,RV,1,30780.69,20200504,NAH4,1930854457,1,1.010989011,20-05-2020
10696,U001,200744019,TARG corp,,2020,1930779380,12-04-2020,20200413,20200412,27-04-2020,USD,RV,1,21356.35,20200412,NAA8,1930779380,1,1.010989011,28-04-2020
10697,U001,200759878,SA corp,,2020,1930635843,12-03-2020,20200311,20200312,16-05-2020,USD,RV,1,6382.8,20200312,NAGD,1930635843,1,1.010989011,17-05-2020
10710,U001,200772670,ASSOCIAT co,,2020,1930652853,15-03-2020,20200316,20200315,30-03-2020,USD,RV,1,1012.53,20200315,NAU5,1930652853,1,93.66666667,01-07-2020
10714,U001,200769623,WAL-MAR systems,,2020,1930731884,02-04-2020,20200402,20200402,17-04-2020,USD,RV,1,11686.17,20200402,NAH4,1930731884,1,1.010989011,18-04-2020
10718,U001,200769623,WAL-MAR trust,,2020,1930705617,27-03-2020,20200326,20200327,11-04-2020,USD,RV,1,35337.31,20200327,NAH4,1930705617,1,1.010989011,12-04-2020
10720,U001,200707822,PUBLI co,,2020,1930859180,07-05-2020,20200505,20200507,22-05-2020,USD,RV,1,153141.09,20200507,NAA8,1930859180,1,1.010989011,23-05-2020
10724,U001,100057168,CO llc,,2020,1930793050,16-04-2020,20200415,20200416,01-05-2020,USD,RV,1,102783.6,20200416,NAA8,1930793050,1,1.010989011,02-05-2020
10726,CA02,140105785,SHOPPE ,,2020,2960622002,17-03-2020,20200317,20200317,04-04-2020,CAD,RV,1,81066.64,20200325,CA10,2960622002,1,2.169835234,06-04-2020
10732,U001,200759878,SA foundation,,2020,1930647094,13-03-2020,20200313,20200313,28-03-2020,USD,RV,1,22341.56,20200313,NAH4,1930647094,1,1.010989011,29-03-2020
10733,U001,200743996,STATER  systems,,2020,1930646966,14-03-2020,20200313,20200314,29-03-2020,USD,RV,1,61382.5,20200314,NAA8,1930646966,1,1.010989011,30-03-2020
10734,U001,200769623,WAL-MAR us,,2020,1930851035,02-05-2020,20200502,20200502,17-05-2020,USD,RV,1,46615.77,20200502,NAH4,1930851035,1,1.010989011,18-05-2020
10742,U001,200744019,TARG corporation,,2020,1930690547,25-03-2020,20200324,20200325,09-04-2020,USD,RV,1,24567.15,20200325,NAA8,1930690547,1,1.010989011,10-04-2020
10745,U001,100031704,DELHAIZE llc,,2020,1930777870,13-04-2020,20200411,20200413,28-04-2020,USD,RV,1,68301.4,20200413,NAA8,1930777870,1,1.010989011,29-04-2020
10748,U001,200769623,WAL-MAR systems,,2020,1930608176,06-03-2020,20200305,20200306,21-03-2020,USD,RV,1,3319.28,20200306,NAH4,1930608176,1,1.010989011,22-03-2020
10749,U001,200769623,WAL-MAR corp,,2020,1930716668,28-03-2020,20200328,20200328,12-04-2020,USD,RV,1,13065.2,20200328,NAH4,1930716668,1,1.010989011,13-04-2020
10750,U001,200769623,WAL-MAR corp,,2020,1930658269,17-03-2020,20200317,20200317,01-04-2020,USD,RV,1,400.93,20200317,NAH4,1930658269,1,1.010989011,02-04-2020
10753,U001,200769623,WAL-MAR llc,,2020,1930778607,13-04-2020,20200411,20200413,28-04-2020,USD,RV,1,3270.04,20200413,NAH4,1930778607,1,1.010989011,29-04-2020
10758,U001,200769623,WAL-MAR in,,2020,1930611612,06-03-2020,20200306,20200306,21-03-2020,USD,RV,1,34462.51,20200306,NAH4,1930611612,1,1.010989011,22-03-2020
10764,U001,200799367,MCL ,,2020,1930832658,28-04-2020,20200428,20200428,13-05-2020,USD,RV,1,71959.44,20200428,NAA8,1930832658,1,1.010989011,14-05-2020
10777,U001,200014556,ALBER systems,,2020,1930596091,05-03-2020,20200304,20200305,09-05-2020,USD,RV,1,23350.91,20200305,NAGD,1930596091,1,1.010989011,10-05-2020
10780,U001,200592182,DECA llc,,2020,1930606859,05-03-2020,20200305,20200305,08-03-2020,USD,RV,1,15349.28,20200301,NAM1,1930606859,1,1.010989011,09-03-2020
10783,U001,200769623,WAL-MAR corp,,2020,1930800892,20-04-2020,20200420,20200420,05-05-2020,USD,RV,1,453.02,20200420,NAH4,1930800892,1,1.010989011,06-05-2020
10796,U001,200230690,DECA corporation,,2020,1930806430,21-04-2020,20200421,20200421,26-04-2020,USD,RV,1,7012.96,20200416,NAM2,1930806430,1,1.010989011,27-04-2020
10799,U001,200756072,REINHA in,,2020,1930788762,15-04-2020,20200415,20200415,30-04-2020,USD,RV,1,17459.66,20200415,NAA8,1930788762,1,1.010989011,01-05-2020
10812,U001,200769623,WAL-MAR ,,2020,1930791387,15-04-2020,20200415,20200415,30-04-2020,USD,RV,1,43.61,20200415,NAH4,1930791387,1,1.010989011,01-05-2020
10813,U001,200792293,UNIFIE foundation,,2020,1930693305,24-03-2020,20200324,20200324,08-04-2020,USD,RV,1,24186.82,20200324,NAA8,1930693305,1,1.010989011,09-04-2020
10820,U001,200769623,WAL-MAR foundation,,2020,1930731402,01-04-2020,20200401,20200401,16-04-2020,USD,RV,1,15310.1,20200401,NAH4,1930731402,1,1.010989011,17-04-2020
10824,U001,200712105,WALG associates,,2020,1930861957,06-05-2020,20200506,20200506,21-05-2020,USD,RV,1,8765.1,20200506,NAA8,1930861957,1,1.010989011,22-05-2020
10829,CA02,100025721,MANU trust,,2020,2960622986,23-03-2020,20200323,20200323,03-04-2020,CAD,RV,1,30574.2,20200324,CA10,2960622986,1,2.169835234,05-04-2020
10833,U001,200794332,COST in,,2020,1930671193,19-03-2020,20200319,20200319,03-04-2020,USD,RV,1,32715.47,20200319,NAAX,1930671193,1,1.010989011,04-04-2020
10835,U001,200769623,WAL-MAR co,,2020,1930654179,16-03-2020,20200315,20200316,31-03-2020,USD,RV,1,19825.35,20200316,NAH4,1930654179,1,1.010989011,01-04-2020
10846,U001,200779906,BOZZU llc,,2020,1930677146,21-03-2020,20200321,20200321,05-04-2020,USD,RV,1,75321.03,20200321,NAA8,1930677146,1,1.010989011,06-04-2020
10848,U001,100031704,DELHAIZE llc,,2020,1930821660,24-04-2020,20200423,20200424,09-05-2020,USD,RV,1,36732.29,20200424,NAA8,1930821660,1,1.010989011,10-05-2020
10855,U001,200704858,WAKE in,,2020,1930664793,18-03-2020,20200317,20200318,02-04-2020,USD,RV,1,57600.64,20200318,NAA8,1930664793,1,1.010989011,03-04-2020
10869,U001,200132251,SUPERB foundation,,2020,1930765126,16-04-2020,20200408,20200416,01-05-2020,USD,RV,1,7798.41,20200416,NAA8,1930765126,1,1.010989011,02-05-2020
10876,U001,200772595,SAFEW systems,,2020,1930756412,09-04-2020,20200406,20200409,24-04-2020,USD,RV,1,17014.17,20200409,NAA8,1930756412,1,1.010989011,25-04-2020
10880,U001,200759878,SA corp,,2020,1930774204,11-04-2020,20200410,20200411,26-04-2020,USD,RV,1,15005.29,20200411,NAH4,1930774204,1,1.010989011,27-04-2020
10883,U001,200769623,WAL-MAR us,,2020,1930846866,03-05-2020,20200502,20200503,18-05-2020,USD,RV,1,5576.9,20200503,NAH4,1930846866,1,1.010989011,19-05-2020
10898,U001,200769623,WAL-MAR associates,,2020,1930703965,28-03-2020,20200325,20200328,12-04-2020,USD,RV,1,65454.16,20200328,NAH4,1930703965,1,1.010989011,13-04-2020
10911,U001,200769623,WAL-MAR associates,,2020,1930692514,26-03-2020,20200324,20200326,10-04-2020,USD,RV,1,587.04,20200326,NAH4,1930692514,1,1.010989011,11-04-2020
10912,U001,200769623,WAL-MAR ,,2020,1930856841,07-05-2020,20200504,20200507,22-05-2020,USD,RV,1,6640.59,20200507,NAH4,1930856841,1,1.010989011,23-05-2020
10918,U001,200761734,H E BUT trust,,2020,1930823413,24-04-2020,20200424,20200424,09-05-2020,USD,RV,1,143288.42,20200424,NAA8,1930823413,1,1.010989011,10-05-2020
10922,CA02,140104285,BUY- systems,,2020,2960625192,05-04-2020,20200405,20200405,24-04-2020,CAD,RV,1,97979.15,20200414,CA10,2960625192,1,2.169835234,26-04-2020
10924,U001,200726979,BJ'S  us,,2020,1930638404,12-03-2020,20200311,20200312,27-03-2020,USD,RV,1,504.93,20200312,NAA8,1930638404,1,1.010989011,28-03-2020
10929,U001,200794332,COST us,,2020,1930715225,30-03-2020,20200328,20200330,14-04-2020,USD,RV,1,4748.83,20200330,NAAX,1930715225,1,1.010989011,15-04-2020
10936,U001,200762301,C&S WH corp,,2020,1930715700,29-03-2020,20200328,20200329,13-04-2020,USD,RV,1,9446.27,20200329,NAC6,1930715700,1,1.010989011,14-04-2020
10941,U001,200794332,COST trust,,2020,1930777077,13-04-2020,20200411,20200413,28-04-2020,USD,RV,1,40455.53,20200413,NAAX,1930777077,1,1.010989011,29-04-2020
10946,U001,200794332,COST associates,,2020,1930610319,06-03-2020,20200305,20200306,21-03-2020,USD,RV,1,51407.61,20200306,NAAX,1930610319,1,1.010989011,22-03-2020
10947,U001,200580232,INTERR trust,,2020,1930774420,09-04-2020,20200410,20200409,19-04-2020,USD,RV,1,29820,20200409,NA10,1930774420,1,1.010989011,20-04-2020
10957,U001,200769623,WAL-MAR trust,,2020,1930722607,01-04-2020,20200330,20200401,16-04-2020,USD,RV,1,17643.11,20200401,NAH4,1930722607,1,1.010989011,17-04-2020
10961,U001,200712187,SPAR in,,2020,1930605292,05-03-2020,20200305,20200305,20-03-2020,USD,RV,1,49424.11,20200305,NAA8,1930605292,1,1.010989011,21-03-2020
10970,U001,CCCA02,KRAFT  ,,2020,1930701001,27-03-2020,20200325,20200327,01-05-2020,USD,RV,1,24134.7,20200327,NAG2,1930701001,1,1.010989011,02-05-2020
10976,U001,200799342,MITCH trust,,2020,1930723349,31-03-2020,20200331,20200331,04-06-2020,USD,RV,1,11608.49,20200331,NAGD,1930723349,1,1.010989011,05-06-2020
10980,U001,200759878,SA ,,2020,1930600888,07-03-2020,20200304,20200307,22-03-2020,USD,RV,1,22889.87,20200307,NAH4,1930600888,1,1.010989011,23-03-2020
10989,U001,200769623,WAL-MAR systems,,2020,1930831213,28-04-2020,20200428,20200428,13-05-2020,USD,RV,1,3958.9,20200428,NAH4,1930831213,1,1.010989011,14-05-2020
10994,U001,200799367,MCL associates,,2020,1930783768,17-04-2020,20200414,20200417,02-05-2020,USD,RV,1,20832.91,20200417,NAA8,1930783768,1,1.010989011,03-05-2020
10999,CA02,140106203,DEF ,,2020,2960629431,20-04-2020,20200420,20200420,02-05-2020,CAD,RV,1,1299.86,20200422,CA10,2960629431,1,2.169835234,04-05-2020
11017,U001,200726979,BJ'S  associates,,2020,1930621603,08-03-2020,20200307,20200308,23-03-2020,USD,RV,1,339.47,20200308,NAA8,1930621603,1,1.010989011,24-03-2020
11024,U001,200900909,SYSCO us,,2020,1930647586,13-03-2020,20200313,20200313,28-03-2020,USD,RV,1,33007.01,20200313,NAA8,1930647586,1,1.010989011,29-03-2020
11025,U001,200769623,WAL-MAR systems,,2020,1930682880,21-03-2020,20200321,20200321,05-04-2020,USD,RV,1,6532.6,20200321,NAH4,1930682880,1,1.010989011,06-04-2020
11040,U001,200706844,WINC trust,,2020,1930708611,27-03-2020,20200326,20200327,11-04-2020,USD,RV,1,18625.44,20200327,NAA8,1930708611,1,1.010989011,12-04-2020
11047,U001,200704858,WAKE corporation,,2020,1930772701,10-04-2020,20200409,20200410,25-04-2020,USD,RV,1,52427.37,20200410,NAA8,1930772701,1,1.010989011,26-04-2020
11051,U001,200769623,WAL-MAR ,,2020,1930713312,28-03-2020,20200327,20200328,12-04-2020,USD,RV,1,32612.52,20200328,NAH4,1930713312,1,1.010989011,13-04-2020
11052,U001,200416837,DEC co,,2020,1930618087,07-03-2020,20200307,20200307,11-03-2020,USD,RV,1,9497.24,20200301,NAM2,1930618087,1,1.010989011,12-03-2020
11054,U001,200337148,COAS us,,2020,1930636636,10-03-2020,20200310,20200310,25-03-2020,USD,RV,1,54229.27,20200310,NAA8,1930636636,1,1.010989011,26-03-2020
11055,U001,200148860,DOLLA in,,2020,1930654812,16-03-2020,20200315,20200316,31-03-2020,USD,RV,1,16857.29,20200316,NAA8,1930654812,1,1.010989011,01-04-2020
11063,U001,200769623,WAL-MAR ,,2020,1930760608,08-04-2020,20200407,20200408,23-04-2020,USD,RV,1,16639.89,20200408,NAH4,1930760608,1,1.010989011,24-04-2020
11071,U001,200704045,RA trust,,2020,1930577822,27-02-2020,20200227,20200227,02-05-2020,USD,RV,1,5055.16,20200227,NAGD,1930577822,1,1.010989011,03-05-2020
11080,CA02,140104429,COSTCO foundation,,2020,2960622316,18-03-2020,20200318,20200318,28-03-2020,CAD,RV,1,36237.66,20200318,CA10,2960622316,1,2.169835234,30-03-2020
11089,U001,200769623,WAL-MAR in,,2020,1930620128,09-03-2020,20200307,20200309,24-03-2020,USD,RV,1,2373.96,20200309,NAH4,1930620128,1,1.010989011,25-03-2020
11101,U001,CCCA02,KRAFT  us,,2020,1930637794,19-03-2020,20200311,20200319,23-04-2020,USD,RV,1,57295.7,20200319,NAG2,1930637794,1,1.010989011,24-04-2020
11103,U002,100036009,JOSE co,,2020,1990571726,26-03-2020,20200324,20200326,30-04-2020,USD,RV,1,12244.96,20200326,NAG2,1990571726,1,1.010989011,01-05-2020
11105,U001,200769623,WAL-MAR co,,2020,1930572458,27-02-2020,20200226,20200227,13-03-2020,USD,RV,1,210.14,20200227,NAH4,1930572458,1,1.010989011,14-03-2020
11106,U001,200762950,HAR us,,2020,1930719723,30-03-2020,20200330,20200330,14-04-2020,USD,RV,1,43974.85,20200330,NAA8,1930719723,1,1.010989011,15-04-2020
11107,U001,200794332,COST corporation,,2020,1930781711,14-04-2020,20200413,20200414,29-04-2020,USD,RV,1,13114.9,20200414,NAAX,1930781711,1,1.010989011,30-04-2020
11108,U001,200759082,INGL us,,2020,1930800883,19-04-2020,20200420,20200419,04-05-2020,USD,RV,1,45160.02,20200419,NAA8,1930800883,1,1.010989011,05-05-2020
11121,CA02,140105847,GORDON F ,,2020,2960619331,09-03-2020,20200309,20200309,22-03-2020,CAD,RV,1,26963.9,20200312,CA10,2960619331,1,2.169835234,24-03-2020
11122,U001,200769623,WAL-MAR ,,2020,1930797907,19-04-2020,20200417,20200419,04-05-2020,USD,RV,1,2592.54,20200419,NAH4,1930797907,1,1.010989011,05-05-2020
11123,CA02,140104423,METRO  foundation,,2020,2960633701,06-05-2020,20200506,20200506,18-05-2020,CAD,RV,1,14966.93,20200508,CA10,2960633701,1,2.169835234,20-05-2020
11125,U001,200726025,MARTI corp,,2020,1930666227,17-03-2020,20200318,20200317,01-04-2020,USD,RV,1,37469.11,20200317,NAA8,1930666227,1,1.010989011,02-04-2020
11129,U001,200769623,WAL-MAR trust,,2020,1930818625,24-04-2020,20200423,20200424,09-05-2020,USD,RV,1,8197.13,20200424,NAH4,1930818625,1,1.010989011,10-05-2020
11130,U001,200357714,US  foundation,,2020,1930615653,06-03-2020,20200306,20200306,21-03-2020,USD,RV,1,55695.22,20200306,NAA8,1930615653,1,1.010989011,22-03-2020
11138,U001,200769623,WAL-MAR associates,,2020,1930706298,28-03-2020,20200326,20200328,12-04-2020,USD,RV,1,36238.08,20200328,NAH4,1930706298,1,1.010989011,13-04-2020
11141,U001,200739006,AL in,,2020,1930594078,04-03-2020,20200303,20200304,19-03-2020,USD,RV,1,17973.62,20200304,NAA8,1930594078,1,1.010989011,20-03-2020
11143,U001,200704858,WAKE corp,,2020,1930832353,30-04-2020,20200428,20200430,15-05-2020,USD,RV,1,18568.24,20200430,NAA8,1930832353,1,1.010989011,16-05-2020
11146,U001,200744019,TARG associates,,2020,1930797788,18-04-2020,20200417,20200418,03-05-2020,USD,RV,1,1558.6,20200418,NAA8,1930797788,1,1.010989011,04-05-2020
11151,U001,200769623,WAL-MAR ,,2020,1930727040,31-03-2020,20200331,20200331,15-04-2020,USD,RV,1,47797.54,20200331,NAH4,1930727040,1,1.010989011,16-04-2020
11157,U001,200353024,DECA in,,2020,1930762263,08-04-2020,20200408,20200408,11-04-2020,USD,RV,1,16312.34,20200401,NAM2,1930762263,1,1.010989011,12-04-2020
11162,U001,200761734,H E BUT trust,,2020,1930654562,16-03-2020,20200316,20200316,31-03-2020,USD,RV,1,38147.55,20200316,NAA8,1930654562,1,1.010989011,01-04-2020
11169,U001,200769623,WAL-MAR trust,,2020,1930741978,04-04-2020,20200403,20200404,19-04-2020,USD,RV,1,7516.28,20200404,NAH4,1930741978,1,1.010989011,20-04-2020
11173,U001,200759878,SA us,,2020,1930585370,01-03-2020,20200301,20200301,16-03-2020,USD,RV,1,38120.82,20200301,NAH4,1930585370,1,1.010989011,17-03-2020
11184,U001,200772670,ASSOCIAT corporation,,2020,1930665090,17-03-2020,20200318,20200317,21-05-2020,USD,RV,1,503.06,20200317,NAGD,1930665090,1,1.010989011,22-05-2020
11192,U001,200769623,WAL-MAR corp,,2020,1930857050,05-05-2020,20200504,20200505,20-05-2020,USD,RV,1,8022.47,20200505,NAH4,1930857050,1,1.010989011,21-05-2020
11200,U001,200780383,MEIJ llc,,2020,1930800615,18-04-2020,20200418,20200418,03-05-2020,USD,RV,1,55001.02,20200418,NAA8,1930800615,1,1.010989011,04-05-2020
11201,CA02,140104240,FEDER in,,2020,2960627076,09-04-2020,20200409,20200409,28-04-2020,CAD,RV,1,165715.73,20200418,CA10,2960627076,1,2.169835234,30-04-2020
11202,CA02,140105686,SYSC corp,,2020,2960628434,14-04-2020,20200414,20200414,03-05-2020,CAD,RV,1,2750.5,20200423,CA10,2960628434,1,2.169835234,05-05-2020
11207,U001,200980828,BEN E trust,,2020,1930665129,18-03-2020,20200318,20200318,02-04-2020,USD,RV,1,660.52,20200318,NAA8,1930665129,1,1.010989011,03-04-2020
11216,U001,200769623,WAL-MAR foundation,,2020,1930857483,05-05-2020,20200505,20200505,20-05-2020,USD,RV,1,4803.29,20200505,NAH4,1930857483,1,1.010989011,21-05-2020
11222,U001,200769623,WAL-MAR co,,2020,1930853057,05-05-2020,20200503,20200505,20-05-2020,USD,RV,1,52006.33,20200505,NAH4,1930853057,1,1.010989011,21-05-2020
11226,U001,200769623,WAL-MAR in,,2020,1930832742,29-04-2020,20200428,20200429,14-05-2020,USD,RV,1,9706.84,20200429,NAH4,1930832742,1,1.010989011,15-05-2020
11227,CA02,140104423,METRO  corporation,,2020,2960626373,06-04-2020,20200406,20200406,19-04-2020,CAD,RV,1,58126.01,20200409,CA10,2960626373,1,4.682854311,23-04-2020
11228,U001,200792734,MDV/ us,,2020,1930796600,16-04-2020,20200416,20200416,01-05-2020,USD,RV,1,77002.43,20200416,NAA8,1930796600,1,1.010989011,02-05-2020
11232,U001,200743123,KROGER co,,2020,1930652665,15-03-2020,20200314,20200315,30-03-2020,USD,RV,1,134002.88,20200315,NAA8,1930652665,1,1.010989011,31-03-2020
11237,U001,200729290,KROGER us,,2020,1930617410,07-03-2020,20200306,20200307,22-03-2020,USD,RV,1,68962.05,20200307,NAA8,1930617410,1,1.010989011,23-03-2020
11244,U001,200769623,WAL-MAR in,,2020,1930685050,23-03-2020,20200321,20200323,07-04-2020,USD,RV,1,14882.17,20200323,NAH4,1930685050,1,1.010989011,08-04-2020
11246,U001,200230690,DECA trust,,2020,1930808524,21-04-2020,20200421,20200421,09-05-2020,USD,RV,1,606.32,20200416,NAM4,1930808524,1,93.66666667,10-08-2020
11252,U001,200722444,PERFOR us,,2020,1930723078,31-03-2020,20200331,20200331,15-04-2020,USD,RV,1,1.8,20200331,NAX2,1930723078,1,-1.848095849,13-04-2020
11253,CA02,140104340,COLABOR  corp,,2020,2960628404,13-04-2020,20200413,20200413,24-04-2020,CAD,RV,1,260.86,20200414,CA10,2960628404,1,2.169835234,26-04-2020
11265,CA02,140104409,LOB co,,2020,2960621299,22-03-2020,20200322,20200322,05-04-2020,CAD,RV,1,136879.95,20200326,CA10,2960621299,1,2.169835234,07-04-2020
11267,U001,200769623,WAL-MAR us,,2020,1930731634,03-04-2020,20200402,20200403,18-04-2020,USD,RV,1,38459.78,20200403,NAH4,1930731634,1,1.010989011,19-04-2020
11273,U001,200794332,COST us,,2020,1930637604,14-03-2020,20200311,20200314,29-03-2020,USD,RV,1,59675.72,20200314,NAAX,1930637604,1,1.010989011,30-03-2020
11279,U001,200762301,C&S WH in,,2020,1930718451,30-03-2020,20200329,20200330,14-04-2020,USD,RV,1,9980.6,20200330,NAC6,1930718451,1,1.010989011,15-04-2020
11282,U001,200782669,SYGMA systems,,2020,1930617473,09-03-2020,20200306,20200309,24-03-2020,USD,RV,1,23298.58,20200309,NAA8,1930617473,1,1.010989011,25-03-2020
11302,U001,200769623,WAL-MAR corp,,2020,1930609913,06-03-2020,20200305,20200306,21-03-2020,USD,RV,1,11736.39,20200306,NAH4,1930609913,1,1.010989011,22-03-2020
11304,U001,200769623,WAL-MAR ,,2020,1930823088,25-04-2020,20200424,20200425,10-05-2020,USD,RV,1,6847.62,20200425,NAH4,1930823088,1,1.010989011,11-05-2020
11308,U001,200763814,SYSCO F corp,,2020,1930581304,27-02-2020,20200228,20200227,30-03-2020,USD,RV,1,2810.35,20200227,NA32,1930581304,1,1.010989011,31-03-2020
11328,U001,200152991,JET systems,,2020,1930818646,25-04-2020,20200423,20200425,10-05-2020,USD,RV,1,4923.42,20200425,NAA8,1930818646,1,1.010989011,11-05-2020
11332,U001,200769623,WAL-MAR corp,,2020,1930826730,26-04-2020,20200425,20200426,11-05-2020,USD,RV,1,11947.69,20200426,NAH4,1930826730,1,1.010989011,12-05-2020
11335,U001,200152991,JET us,,2020,1930804874,22-04-2020,20200421,20200422,07-05-2020,USD,RV,1,2739.43,20200422,NAA8,1930804874,1,1.010989011,08-05-2020
11344,U001,200794332,COST associates,,2020,1930826622,27-04-2020,20200425,20200427,12-05-2020,USD,RV,1,4473.02,20200427,NAAX,1930826622,1,1.010989011,13-05-2020
11353,U001,200382900,J & J  in,,2020,1930672305,19-03-2020,20200319,20200319,03-04-2020,USD,RV,1,150572,20200319,NAA8,1930672305,1,1.010989011,04-04-2020
11358,U001,200762301,C&S WH co,,2020,1930619325,09-03-2020,20200307,20200309,13-05-2020,USD,RV,1,2292.01,20200309,NAGD,1930619325,1,1.010989011,14-05-2020
11361,U001,100052024,CPG us,,2020,1930810204,21-04-2020,20200421,20200421,06-05-2020,USD,RV,1,50443.11,20200421,NAA8,1930810204,1,1.010989011,07-05-2020
11366,U001,200783190,PIT foundation,,2020,1930691861,25-03-2020,20200324,20200325,09-04-2020,USD,RV,1,35230.26,20200325,NAA8,1930691861,1,1.010989011,10-04-2020
11383,CA02,140104440,SO co,,2020,2960622660,19-03-2020,20200320,20200319,29-03-2020,CAD,RV,1,38391.86,20200319,CA10,2960622660,1,2.169835234,31-03-2020
11388,U001,200230690,DECA trust,,2020,1930808110,21-04-2020,20200421,20200421,09-05-2020,USD,RV,1,4494.8,20200416,NAM4,1930808110,1,93.66666667,10-08-2020
11393,U001,200769623,WAL-MAR llc,,2020,1930739112,04-04-2020,20200403,20200404,19-04-2020,USD,RV,1,3403.8,20200404,NAH4,1930739112,1,1.010989011,20-04-2020
11396,U001,200020431,DEC us,,2020,1930861354,06-05-2020,20200506,20200506,24-05-2020,USD,RV,1,663.96,20200501,NAM4,1930861354,1,93.66666667,25-08-2020
11397,U001,200769623,WAL-MAR in,,2020,1930621883,09-03-2020,20200307,20200309,24-03-2020,USD,RV,1,8770.03,20200309,NAH4,1930621883,1,1.010989011,25-03-2020
11400,U001,200769623,WAL-MAR systems,,2020,1930654971,16-03-2020,20200316,20200316,31-03-2020,USD,RV,1,45009.96,20200316,NAH4,1930654971,1,1.010989011,01-04-2020
11401,U001,200769623,WAL-MAR foundation,,2020,1930635451,12-03-2020,20200311,20200312,27-03-2020,USD,RV,1,9253.7,20200312,NAH4,1930635451,1,1.010989011,28-03-2020
11410,U001,100031704,DELHAIZE llc,,2020,1930831480,27-04-2020,20200428,20200427,12-05-2020,USD,RV,1,39894.64,20200427,NAA8,1930831480,1,1.010989011,13-05-2020
11411,CA02,140104423,METRO  llc,,2020,2960621093,18-03-2020,20200318,20200318,30-03-2020,CAD,RV,1,76268.59,20200320,CA10,2960621093,1,2.169835234,01-04-2020
11412,U001,200847305,CUSTOM corp,,2020,1930666332,19-03-2020,20200318,20200319,29-03-2020,USD,RV,1,65136.96,20200319,NA10,1930666332,1,1.010989011,30-03-2020
11418,U001,200416837,DEC foundation,,2020,1930599447,04-03-2020,20200304,20200304,24-03-2020,USD,RV,1,270.36,20200301,NAM4,1930599447,1,93.66666667,25-06-2020
11423,U001,200705742,DOT corp,,2020,1930774856,10-04-2020,20200410,20200410,12-05-2020,USD,RV,1,1723.61,20200410,NA32,1930774856,1,1.010989011,13-05-2020
11428,U001,200744019,TARG associates,,2020,1930706550,27-03-2020,20200326,20200327,11-04-2020,USD,RV,1,91336.75,20200327,NAA8,1930706550,1,1.010989011,12-04-2020
11432,U001,200782669,SYGMA llc,,2020,1930768144,17-04-2020,20200409,20200417,02-05-2020,USD,RV,1,416.15,20200417,NAA8,1930768144,1,1.010989011,03-05-2020
11440,U001,200772670,ASSOCIAT llc,,2020,1930639689,11-03-2020,20200311,20200311,26-03-2020,USD,RV,1,373.43,20200311,NAU5,1930639689,1,93.66666667,27-06-2020
11443,U001,200464724,LAND associates,,2020,1930643948,12-03-2020,20200312,20200312,22-03-2020,USD,RV,1,730985.29,20200312,NA10,1930643948,1,1.010989011,23-03-2020
